& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   2832  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  17444  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  17444  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  17444  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  17444  0  0  0          0.
 12  CUIABA G CC    1    0        0.000    792  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   1296  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   1320  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   1362  0  0  1       1350.
 15  LINHARES       1    1       51.000     72  0  0  0          0.
 15  LINHARES       2    1       51.000     72  0  0  0          0.
 15  LINHARES       3    1       51.000     72  0  0  0          0.
 15  LINHARES       4    1       51.000     72  0  0  0          0.
 21  MARANHAO V     1    1      337.600    936  0  0  0          0.
 24  J.LACERDA C    7    1      315.000    984  0  0  1        315.
 25  J.LACERDA B    5    1      131.000    336  0  0  1        220.
 25  J.LACERDA B    6    1       89.000   2960  1  0  1        220.
 26  J.LACERDA A1   1    1       45.000    288  0  0  1         80.
 26  J.LACERDA A1   2    1       35.000    456  0  0  1         80.
 27  J.LACERDA A2   3    1       66.000   1152  0  0  3        110.
 27  J.LACERDA A2   4    1       44.000    816  0  0  3        110.
 28  FIGUEIRA       1    0        0.000  17444  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  17444  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  17444  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  17444  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  17444  0  0  0          0.
 36  MARANHAO IV    1    1      337.600     72  0  0  0          0.
 42  FORTALEZA      1    0        0.000  15937  0  0  0          0.
 42  FORTALEZA      2    0        0.000  15937  0  0  0          0.
 42  FORTALEZA      3    0        0.000   2568  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000    143  0  0  0          0.
 46  N.VENECIA 2    1    1      178.000    264  0  0  0          0.
